#Emin [GeV]   Emax [GeV]   Ecenter [GeV]  E^2dN/dE [GeV cm^-2 s^-1] E^2dN/dE_StatError [GeV cm^-2 s^-1] E^2dN/dE_SystError [GeV cm^-2 s^-1]
0.6667607 0.8891397 0.7699632515710019 2.580259268479318e-07 1.5917566216084085e-08 9.253674994462147e-08
0.8891397 1.1856900000000001 1.0267638729975848 3.287576804165447e-07 1.5579588254762022e-08 8.211656355861288e-08
1.1856900000000001 1.581139 1.369211707848717 3.678650747220776e-07 1.5878303666118355e-08 7.412673005217943e-08
1.581139 2.108482 1.825870510468363 3.4515537587559554e-07 1.6110235323439768e-08 6.566720190903429e-08
2.108482 2.8117069999999997 2.4348374891918354 3.109639413926795e-07 1.690073851734745e-08 6.208541105513341e-08
2.8117069999999997 3.749471 3.2469083536492063 3.337878907990024e-07 1.809972103660671e-08 5.3576310014814304e-08
3.749471 5.0 4.329821589857947 2.7368072022811896e-07 1.7367865009855702e-08 5.1674937478642226e-08
5.0 6.667607 5.773909853816563 1.9676516482304253e-07 2.0201231510959123e-08 4.858538935717249e-08
6.667607 8.891397000000001 7.69963251571002 1.171044218727018e-07 2.1040364719863234e-08 3.6156017072915725e-08
8.891397000000001 11.85687 10.267625740520057 1.4065103871373197e-07 2.2323206021133853e-08 3.1795909141279156e-08
11.85687 15.811390000000001 13.692099756768501 7.660897842807736e-08 2.358830680421128e-08 2.686475379644931e-08
15.811390000000001 21.084830000000004 18.258709434505498 1.1504149698508294e-07 2.8730441786650835e-08 3.319545814226786e-08
21.084830000000004 28.117070000000002 24.34838066582868 6.905223568197366e-08 2.7239294505951544e-08 2.041885469264393e-08
28.117070000000002 37.49471 32.469083536492064 2.7989230758918618e-08 2.3128648602134684e-08 1.0656635532511577e-08
37.49471 158.1139 76.99632996103776 5.483156888275678e-08 1.5468011295114422e-08 2.0990627634207213e-08
